action,month,day,hour,count,sum,average,std,step
INSURANCE,1,8,1,2,412.2,206.1,100.0,7
EDUCATION,1,8,10,2,905.2,452.6,300.0,7
TRAVEL,1,8,13,4,625.0,156.2,100.0,7
CASH_WITHDRAWAL,1,8,16,4,370.0,92.5,50.0,7
CASH_DEPOSIT,1,8,13,3,1548.3,516.1,300.0,7
BANK_TRANSFER,1,8,17,3,2995.9,998.6,500.0,7
CREDIT_CARD_PAYMENT,1,8,16,4,300.1,75.0,40.0,7
FOOD_GROCERIES,1,9,19,36,1724.8,47.9,15.0,8
FOOD_RESTAURANT,1,9,12,25,576.8,23.1,12.0,8
TRANSPORT_PUBLIC,1,9,16,30,251.2,8.4,5.0,8
TRANSPORT_PRIVATE,1,9,9,20,306.9,15.3,8.0,8
HEALTHCARE,1,9,17,12,1304.7,108.7,80.0,8
SHOPPING_CLOTHES,1,9,17,17,1394.2,82.0,45.0,8
SHOPPING_ELECTRONICS,1,9,17,7,1890.9,270.1,150.0,8
ENTERTAINMENT,1,9,20,21,792.8,37.8,20.0,8
HOUSING,1,9,1,6,11592.8,1932.1,600.0,8
INSURANCE,1,9,1,2,421.4,210.7,100.0,8
EDUCATION,1,9,10,2,1050.7,525.4,300.0,8
TRAVEL,1,9,12,4,561.2,140.3,100.0,8
CASH_WITHDRAWAL,1,9,13,4,435.4,108.9,50.0,8
CASH_DEPOSIT,1,9,8,2,1089.9,545.0,300.0,8
BANK_TRANSFER,1,9,10,2,2021.0,1010.5,500.0,8
CREDIT_CARD_PAYMENT,1,9,11,5,375.5,75.1,40.0,8
FOOD_GROCERIES,1,10,13,32,1463.0,45.7,15.0,9
FOOD_RESTAURANT,1,10,21,20,475.2,23.8,12.0,9
TRANSPORT_PUBLIC,1,10,8,28,225.7,8.1,5.0,9
TRANSPORT_PRIVATE,1,10,17,17,257.1,15.1,8.0,9
HEALTHCARE,1,10,11,10,1277.9,127.8,80.0,9
SHOPPING_CLOTHES,1,10,19,15,1267.1,84.5,45.0,9
SHOPPING_ELECTRONICS,1,10,13,7,1726.1,246.6,150.0,9
ENTERTAINMENT,1,10,20,15,497.6,33.2,20.0,9
HOUSING,1,10,5,5,8569.3,1713.9,600.0,9
INSURANCE,1,10,1,3,552.3,184.1,100.0,9
EDUCATION,1,10,9,3,1437.6,479.2,300.0,9
TRAVEL,1,10,11,4,550.4,137.6,100.0,9
CASH_WITHDRAWAL,1,10,21,4,437.5,109.4,50.0,9
CASH_DEPOSIT,1,10,11,2,1093.1,546.6,300.0,9
BANK_TRANSFER,1,10,12,2,2115.1,1057.6,500.0,9
CREDIT_CARD_PAYMENT,1,10,18,5,408.1,81.6,40.0,9
FOOD_GROCERIES,1,11,12,34,1378.8,40.6,15.0,10
FOOD_RESTAURANT,1,11,13,27,660.6,24.5,12.0,10
TRANSPORT_PUBLIC,1,11,18,31,249.6,8.1,5.0,10
TRANSPORT_PRIVATE,1,11,17,21,338.6,16.1,8.0,10
HEALTHCARE,1,11,9,10,1293.5,129.3,80.0,10
SHOPPING_CLOTHES,1,11,18,16,1258.1,78.6,45.0,10
SHOPPING_ELECTRONICS,1,11,19,8,1931.9,241.5,150.0,10
ENTERTAINMENT,1,11,23,18,613.6,34.1,20.0,10
HOUSING,1,11,1,5,9500.3,1900.1,600.0,10
INSURANCE,1,11,4,2,397.8,198.9,100.0,10
EDUCATION,1,11,14,2,1054.6,527.3,300.0,10
TRAVEL,1,11,8,6,887.5,147.9,100.0,10
CASH_WITHDRAWAL,1,11,11,6,620.0,103.3,50.0,10
CASH_DEPOSIT,1,11,14,2,916.2,458.1,300.0,10
BANK_TRANSFER,1,11,10,3,2896.7,965.6,500.0,10
CREDIT_CARD_PAYMENT,1,11,18,5,400.7,80.1,40.0,10
FOOD_GROCERIES,1,12,17,32,1365.9,42.7,15.0,11
FOOD_RESTAURANT,1,12,12,22,590.4,26.8,12.0,11
TRANSPORT_PUBLIC,1,12,9,33,254.8,7.7,5.0,11
TRANSPORT_PRIVATE,1,12,8,17,271.5,16.0,8.0,11
HEALTHCARE,1,12,14,12,1453.4,121.1,80.0,11
SHOPPING_CLOTHES,1,12,10,19,1535.4,80.8,45.0,11
SHOPPING_ELECTRONICS,1,12,18,7,1863.5,266.2,150.0,11
ENTERTAINMENT,1,12,22,20,712.5,35.6,20.0,11
HOUSING,1,12,5,6,10214.1,1702.4,600.0,11
INSURANCE,1,12,3,2,368.6,184.3,100.0,11
EDUCATION,1,12,8,2,1059.2,529.6,300.0,11
TRAVEL,1,12,8,5,680.9,136.2,100.0,11
CASH_WITHDRAWAL,1,12,15,5,511.8,102.4,50.0,11
CASH_DEPOSIT,1,12,12,2,1025.5,512.8,300.0,11
BANK_TRANSFER,1,12,12,2,1945.3,972.7,500.0,11
CREDIT_CARD_PAYMENT,1,12,19,5,365.7,73.1,40.0,11
FOOD_GROCERIES,1,13,14,60,2876.9,47.9,15.0,12
FOOD_RESTAURANT,1,13,11,27,635.0,23.5,12.0,12
TRANSPORT_PUBLIC,1,13,18,43,392.5,9.1,5.0,12
TRANSPORT_PRIVATE,1,13,8,23,340.2,14.8,8.0,12
HEALTHCARE,1,13,9,12,1418.4,118.2,80.0,12
SHOPPING_CLOTHES,1,13,18,22,1998.4,90.8,45.0,12
SHOPPING_ELECTRONICS,1,13,11,9,2087.3,231.9,150.0,12
ENTERTAINMENT,1,13,19,20,722.6,36.1,20.0,12
HOUSING,1,13,3,5,8790.2,1758.0,600.0,12
INSURANCE,1,13,5,3,550.2,183.4,100.0,12
EDUCATION,1,13,8,3,1594.9,531.6,300.0,12
TRAVEL,1,13,8,7,976.6,139.5,100.0,12
CASH_WITHDRAWAL,1,13,12,7,714.7,102.1,50.0,12
CASH_DEPOSIT,1,13,12,3,1362.9,454.3,300.0,12
BANK_TRANSFER,1,13,17,3,2996.7,998.9,500.0,12
CREDIT_CARD_PAYMENT,1,13,21,5,344.4,68.9,40.0,12
FOOD_GROCERIES,1,14,17,52,2439.1,46.9,15.0,13
FOOD_RESTAURANT,1,14,21,33,852.3,25.8,12.0,13
TRANSPORT_PUBLIC,1,14,7,34,303.7,8.9,5.0,13
TRANSPORT_PRIVATE,1,14,19,30,417.1,13.9,8.0,13
HEALTHCARE,1,14,10,16,1995.0,124.7,80.0,13
SHOPPING_CLOTHES,1,14,19,22,1780.3,80.9,45.0,13
SHOPPING_ELECTRONICS,1,14,17,8,2082.5,260.3,150.0,13
ENTERTAINMENT,1,14,22,20,630.8,31.5,20.0,13
HOUSING,1,14,5,6,11065.8,1844.3,600.0,13
INSURANCE,1,14,3,3,605.6,201.9,100.0,13
EDUCATION,1,14,13,3,1368.5,456.2,300.0,13
TRAVEL,1,14,13,8,1107.6,138.5,100.0,13
CASH_WITHDRAWAL,1,14,13,6,546.0,91.0,50.0,13
CASH_DEPOSIT,1,14,13,3,1368.0,456.0,300.0,13
BANK_TRANSFER,1,14,12,3,2870.5,956.8,500.0,13
CREDIT_CARD_PAYMENT,1,14,12,6,471.6,78.6,40.0,13
FOOD_GROCERIES,1,15,10,39,1903.3,48.8,15.0,14
FOOD_RESTAURANT,1,15,20,26,668.2,25.7,12.0,14
TRANSPORT_PUBLIC,1,15,16,26,202.3,7.8,5.0,14
TRANSPORT_PRIVATE,1,15,8,24,331.1,13.8,8.0,14
HEALTHCARE,1,15,15,10,1277.9,127.8,80.0,14
SHOPPING_CLOTHES,1,15,16,19,1521.1,80.1,45.0,14
SHOPPING_ELECTRONICS,1,15,14,6,1406.1,234.3,150.0,14
ENTERTAINMENT,1,15,20,16,611.2,38.2,20.0,14
HOUSING,1,15,2,5,9443.2,1888.6,600.0,14
INSURANCE,1,15,4,2,380.3,190.2,100.0,14
EDUCATION,1,15,15,2,1010.4,505.2,300.0,14
TRAVEL,1,15,9,5,755.5,151.1,100.0,14
CASH_WITHDRAWAL,1,15,11,4,423.8,106.0,50.0,14
CASH_DEPOSIT,1,15,12,2,1070.0,535.0,300.0,14
BANK_TRANSFER,1,15,10,2,1817.4,908.7,500.0,14
CREDIT_CARD_PAYMENT,1,15,14,4,293.4,73.3,40.0,14
FOOD_GROCERIES,1,16,18,42,2000.1,47.6,15.0,15
FOOD_RESTAURANT,1,16,12,26,630.3,24.2,12.0,15
TRANSPORT_PUBLIC,1,16,19,37,301.9,8.2,5.0,15
TRANSPORT_PRIVATE,1,16,19,22,316.4,14.4,8.0,15
HEALTHCARE,1,16,11,8,866.7,108.3,80.0,15
SHOPPING_CLOTHES,1,16,18,18,1594.5,88.6,45.0,15
SHOPPING_ELECTRONICS,1,16,10,7,1761.2,251.6,150.0,15
ENTERTAINMENT,1,16,23,15,513.3,34.2,20.0,15
HOUSING,1,16,4,4,7154.1,1788.5,600.0,15
INSURANCE,1,16,4,3,630.9,210.3,100.0,15
EDUCATION,1,16,16,2,938.0,469.0,300.0,15
TRAVEL,1,16,17,6,925.4,154.2,100.0,15
CASH_WITHDRAWAL,1,16,16,5,457.8,91.6,50.0,15
CASH_DEPOSIT,1,16,9,2,995.6,497.8,300.0,15
BANK_TRANSFER,1,16,15,2,2096.5,1048.3,500.0,15
CREDIT_CARD_PAYMENT,1,16,17,5,337.6,67.5,40.0,15
FOOD_GROCERIES,1,17,16,41,1672.8,40.8,15.0,16
FOOD_RESTAURANT,1,17,13,21,478.7,22.8,12.0,16
TRANSPORT_PUBLIC,1,17,18,29,231.1,8.0,5.0,16
TRANSPORT_PRIVATE,1,17,8,23,372.2,16.2,8.0,16
HEALTHCARE,1,17,14,11,1326.1,120.6,80.0,16
SHOPPING_CLOTHES,1,17,19,13,1180.5,90.8,45.0,16
SHOPPING_ELECTRONICS,1,17,13,9,2438.3,270.9,150.0,16
ENTERTAINMENT,1,17,19,21,706.1,33.6,20.0,16
HOUSING,1,17,5,4,6623.6,1655.9,600.0,16
INSURANCE,1,17,5,2,392.8,196.4,100.0,16
EDUCATION,1,17,14,2,1048.0,524.0,300.0,16
TRAVEL,1,17,9,5,680.8,136.2,100.0,16
CASH_WITHDRAWAL,1,17,13,5,530.7,106.1,50.0,16
CASH_DEPOSIT,1,17,17,2,992.6,496.3,300.0,16
BANK_TRANSFER,1,17,15,3,3194.7,1064.9,500.0,16
CREDIT_CARD_PAYMENT,1,17,18,5,342.2,68.4,40.0,16
FOOD_GROCERIES,1,18,11,47,2076.6,44.2,15.0,17
FOOD_RESTAURANT,1,18,19,21,525.4,25.0,12.0,17
TRANSPORT_PUBLIC,1,18,8,32,267.5,8.4,5.0,17
TRANSPORT_PRIVATE,1,18,19,17,278.3,16.4,8.0,17
HEALTHCARE,1,18,8,11,1343.1,122.1,80.0,17
SHOPPING_CLOTHES,1,18,16,17,1386.5,81.6,45.0,17
SHOPPING_ELECTRONICS,1,18,18,7,1615.2,230.7,150.0,17
ENTERTAINMENT,1,18,20,16,583.7,36.5,20.0,17
HOUSING,1,18,3,6,10580.6,1763.4,600.0,17
INSURANCE,1,18,2,2,416.4,208.2,100.0,17
EDUCATION,1,18,16,2,1089.4,544.7,300.0,17
TRAVEL,1,18,17,5,742.9,148.6,100.0,17
CASH_WITHDRAWAL,1,18,18,5,490.7,98.1,50.0,17
CASH_DEPOSIT,1,18,14,3,1636.9,545.6,300.0,17
BANK_TRANSFER,1,18,15,2,1806.8,903.4,500.0,17
CREDIT_CARD_PAYMENT,1,18,10,5,354.0,70.8,40.0,17
FOOD_GROCERIES,1,19,10,44,1958.6,44.5,15.0,18
FOOD_RESTAURANT,1,19,11,27,692.2,25.6,12.0,18
TRANSPORT_PUBLIC,1,19,6,32,265.1,8.3,5.0,18
TRANSPORT_PRIVATE,1,19,17,19,291.2,15.3,8.0,18
HEALTHCARE,1,19,8,9,1033.0,114.8,80.0,18
SHOPPING_CLOTHES,1,19,18,16,1474.4,92.2,45.0,18
SHOPPING_ELECTRONICS,1,19,17,8,2052.1,256.5,150.0,18
ENTERTAINMENT,1,19,23,18,617.1,34.3,20.0,18
HOUSING,1,19,3,5,9576.6,1915.3,600.0,18
INSURANCE,1,19,2,3,644.7,214.9,100.0,18
EDUCATION,1,19,16,2,900.5,450.2,300.0,18
TRAVEL,1,19,13,5,796.1,159.2,100.0,18
CASH_WITHDRAWAL,1,19,10,6,580.0,96.7,50.0,18
CASH_DEPOSIT,1,19,14,2,1049.0,524.5,300.0,18
BANK_TRANSFER,1,19,13,3,3290.3,1096.8,500.0,18
CREDIT_CARD_PAYMENT,1,19,20,4,324.2,81.1,40.0,18
FOOD_GROCERIES,1,20,13,43,2064.0,48.0,15.0,19
FOOD_RESTAURANT,1,20,18,36,832.9,23.1,12.0,19
TRANSPORT_PUBLIC,1,20,6,36,312.3,8.7,5.0,19
TRANSPORT_PRIVATE,1,20,8,24,363.0,15.1,8.0,19
HEALTHCARE,1,20,15,13,1624.7,125.0,80.0,19
SHOPPING_CLOTHES,1,20,15,20,1666.2,83.3,45.0,19
SHOPPING_ELECTRONICS,1,20,12,9,2357.7,262.0,150.0,19
ENTERTAINMENT,1,20,20,26,933.0,35.9,20.0,19
HOUSING,1,20,5,7,12240.7,1748.7,600.0,19
INSURANCE,1,20,2,3,638.0,212.7,100.0,19
EDUCATION,1,20,14,3,1403.4,467.8,300.0,19
TRAVEL,1,20,9,7,1092.9,156.1,100.0,19
CASH_WITHDRAWAL,1,20,10,7,651.1,93.0,50.0,19
CASH_DEPOSIT,1,20,13,3,1546.4,515.5,300.0,19
BANK_TRANSFER,1,20,10,4,3689.9,922.5,500.0,19
CREDIT_CARD_PAYMENT,1,20,19,7,515.4,73.6,40.0,19
FOOD_GROCERIES,1,21,12,62,2909.2,46.9,15.0,20
FOOD_RESTAURANT,1,21,18,32,725.4,22.7,12.0,20
TRANSPORT_PUBLIC,1,21,18,33,304.8,9.2,5.0,20
TRANSPORT_PRIVATE,1,21,8,24,324.5,13.5,8.0,20
HEALTHCARE,1,21,15,16,1844.4,115.3,80.0,20
SHOPPING_CLOTHES,1,21,19,19,1700.7,89.5,45.0,20
SHOPPING_ELECTRONICS,1,21,16,9,2033.8,226.0,150.0,20
ENTERTAINMENT,1,21,20,24,809.6,33.7,20.0,20
HOUSING,1,21,5,6,10258.5,1709.8,600.0,20
INSURANCE,1,21,1,3,547.1,182.4,100.0,20
EDUCATION,1,21,9,3,1557.7,519.2,300.0,20
TRAVEL,1,21,15,5,744.7,148.9,100.0,20
CASH_WITHDRAWAL,1,21,21,6,648.3,108.0,50.0,20
CASH_DEPOSIT,1,21,16,3,1492.2,497.4,300.0,20
BANK_TRANSFER,1,21,14,2,2171.8,1085.9,500.0,20
CREDIT_CARD_PAYMENT,1,21,16,7,527.8,75.4,40.0,20
FOOD_GROCERIES,1,22,14,48,2171.1,45.2,15.0,21
FOOD_RESTAURANT,1,22,12,20,498.0,24.9,12.0,21
TRANSPORT_PUBLIC,1,22,19,38,345.3,9.1,5.0,21
TRANSPORT_PRIVATE,1,22,8,24,337.5,14.1,8.0,21
HEALTHCARE,1,22,15,11,1442.2,131.1,80.0,21
SHOPPING_CLOTHES,1,22,14,16,1267.9,79.2,45.0,21
SHOPPING_ELECTRONICS,1,22,19,9,2178.3,242.0,150.0,21
ENTERTAINMENT,1,22,19,18,680.0,37.8,20.0,21
HOUSING,1,22,3,5,9047.6,1809.5,600.0,21
INSURANCE,1,22,5,2,365.4,182.7,100.0,21
EDUCATION,1,22,10,2,1031.2,515.6,300.0,21
TRAVEL,1,22,12,4,546.6,136.6,100.0,21
CASH_WITHDRAWAL,1,22,13,6,582.9,97.2,50.0,21
CASH_DEPOSIT,1,22,11,2,1040.4,520.2,300.0,21
BANK_TRANSFER,1,22,11,3,2782.8,927.6,500.0,21
CREDIT_CARD_PAYMENT,1,22,21,5,371.4,74.3,40.0,21
FOOD_GROCERIES,1,23,13,36,1762.0,48.9,15.0,22
FOOD_RESTAURANT,1,23,12,22,552.3,25.1,12.0,22
TRANSPORT_PUBLIC,1,23,6,27,223.1,8.3,5.0,22
TRANSPORT_PRIVATE,1,23,19,20,282.6,14.1,8.0,22
HEALTHCARE,1,23,11,10,1105.5,110.5,80.0,22
SHOPPING_CLOTHES,1,23,10,16,1272.3,79.5,45.0,22
SHOPPING_ELECTRONICS,1,23,16,8,1947.4,243.4,150.0,22
ENTERTAINMENT,1,23,22,20,639.0,32.0,20.0,22
HOUSING,1,23,4,6,11858.6,1976.4,600.0,22
INSURANCE,1,23,1,2,371.7,185.8,100.0,22
EDUCATION,1,23,11,2,968.4,484.2,300.0,22
TRAVEL,1,23,17,5,812.0,162.4,100.0,22
CASH_WITHDRAWAL,1,23,18,4,406.1,101.5,50.0,22
CASH_DEPOSIT,1,23,12,2,1029.1,514.6,300.0,22
BANK_TRANSFER,1,23,16,3,3272.2,1090.7,500.0,22
CREDIT_CARD_PAYMENT,1,23,15,4,322.9,80.7,40.0,22
FOOD_GROCERIES,1,24,9,41,1716.4,41.9,15.0,23
FOOD_RESTAURANT,1,24,11,26,629.4,24.2,12.0,23
TRANSPORT_PUBLIC,1,24,17,30,273.8,9.1,5.0,23
TRANSPORT_PRIVATE,1,24,7,23,367.1,16.0,8.0,23
HEALTHCARE,1,24,11,8,928.2,116.0,80.0,23
SHOPPING_CLOTHES,1,24,14,15,1189.7,79.3,45.0,23
SHOPPING_ELECTRONICS,1,24,12,8,2171.7,271.5,150.0,23
ENTERTAINMENT,1,24,23,21,769.3,36.6,20.0,23
HOUSING,1,24,2,6,11175.0,1862.5,600.0,23
INSURANCE,1,24,4,2,383.7,191.8,100.0,23
EDUCATION,1,24,9,3,1599.2,533.1,300.0,23
TRAVEL,1,24,17,6,920.0,153.3,100.0,23
CASH_WITHDRAWAL,1,24,11,6,627.3,104.6,50.0,23
CASH_DEPOSIT,1,24,15,2,950.8,475.4,300.0,23
BANK_TRANSFER,1,24,14,2,2160.3,1080.2,500.0,23
CREDIT_CARD_PAYMENT,1,24,17,5,385.3,77.1,40.0,23
FOOD_GROCERIES,1,25,14,52,2393.6,46.0,15.0,24
FOOD_RESTAURANT,1,25,18,37,935.2,25.3,12.0,24
TRANSPORT_PUBLIC,1,25,9,44,407.2,9.3,5.0,24
TRANSPORT_PRIVATE,1,25,7,27,386.4,14.3,8.0,24
HEALTHCARE,1,25,17,17,1977.3,116.3,80.0,24
SHOPPING_CLOTHES,1,25,15,19,1574.0,82.8,45.0,24
SHOPPING_ELECTRONICS,1,25,10,13,3133.3,241.0,150.0,24
ENTERTAINMENT,1,25,23,25,882.4,35.3,20.0,24
HOUSING,1,25,3,6,9994.1,1665.7,600.0,24
INSURANCE,1,25,5,3,579.5,193.2,100.0,24
EDUCATION,1,25,9,3,1515.0,505.0,300.0,24
TRAVEL,1,25,8,7,979.6,139.9,100.0,24
CASH_WITHDRAWAL,1,25,10,8,779.0,97.4,50.0,24
CASH_DEPOSIT,1,25,12,4,2065.6,516.4,300.0,24
BANK_TRANSFER,1,25,13,3,2945.7,981.9,500.0,24
CREDIT_CARD_PAYMENT,1,25,18,6,416.8,69.5,40.0,24
FOOD_GROCERIES,1,26,10,49,2152.7,43.9,15.0,25
FOOD_RESTAURANT,1,26,12,40,927.1,23.2,12.0,25
TRANSPORT_PUBLIC,1,26,7,50,401.7,8.0,5.0,25
TRANSPORT_PRIVATE,1,26,17,26,372.2,14.3,8.0,25
HEALTHCARE,1,26,15,16,2008.2,125.5,80.0,25
SHOPPING_CLOTHES,1,26,15,22,1896.3,86.2,45.0,25
SHOPPING_ELECTRONICS,1,26,17,11,2780.2,252.7,150.0,25
ENTERTAINMENT,1,26,19,29,980.1,33.8,20.0,25
